danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.548,0.894,-6.35,0.043,0.000908,0.013,0.0729,0.9,150.012,4yEvEw6cvs9MpSfQUToJG9,259808
0.303,0.922,-4.376,0.138,0.000676,0.26,0.561,0.695,138.393,3090goAxG6IlpCifA8m9xB,242533
0.221,0.956,-4.641,0.0876,0.0103,0.000523,0.195,0.432,173.254,2JS1iE5A5RHvUPH5Zl9jlF,233960
0.511,0.82,-6.962,0.049,0.00467,6.07e-06,0.104,0.543,138.2,55cd3NlqktNjhAZcPvaUvk,310067
0.469,0.823,-9.913,0.0679,0.0544,0.067,0.0496,0.155,91.949,3Q5oNMl4OYrycajbOofpyY,350013
0.519,0.861,-6.67,0.0758,0.0173,0.00312,0.06,0.213,117.846,4hOohf45f0JtxYKNsEAIOV,309933
0.254,0.985,-6.778,0.188,5.26e-05,0.363,0.0558,0.0397,162.947,3HUUKh0ZXFi5x2XgAHjtz6,244160
0.254,0.811,-13.416,0.0542,0.000573,0.221,0.11,0.416,168.398,1A9bOtUg91RLO9nGzXF8ao,336760
0.405,0.796,-8.495,0.076,0.00512,7.69e-05,0.937,0.405,117.187,0wDEkVj05E3atMDS7upJin,240320
0.538,0.923,-5.154,0.0447,0.00046,0.00863,0.564,0.445,124.449,1zMXCwfwiIGPZA4kq7ideV,274867
0.315,0.822,-10.437,0.103,0.047,0.0077,0.274,0.164,150.499,1VRnW4Qk8PP3EGGFMs6Z32,416693
0.444,0.922,-4.519,0.0529,0.00635,0.0,0.305,0.301,140.206,7sicPw7V9SYJl3Zjme9i4p,225533
0.535,0.968,-3.952,0.0658,0.000894,0.0127,0.236,0.384,110.964,745PEogChr9LC3ctmXeijC,289920
0.525,0.833,-5.844,0.0372,5.83e-05,0.623,0.107,0.621,140.732,3azSRGmcZSaSZVV3Izg4Tg,212000
0.318,0.527,-8.388,0.0275,0.307,0.00193,0.169,0.236,87.186,67TDP21NkdDbavSA0sMk8v,388733
0.355,0.998,-6.046,0.141,5.6e-05,0.0163,0.347,0.0393,105.692,5FvOGIzAQuJyNaEM62mhIG,229640
0.166,0.948,-8.503,0.0631,0.00374,0.0131,0.769,0.476,177.495,1aDNYyeU62BuQsBAY18i48,506160
0.287,0.716,-5.653,0.0311,0.0381,3.24e-05,0.164,0.544,172.123,3Rtv6zRNKpeSygXoaF9kCm,409800
0.445,0.964,-5.493,0.282,0.037,0.0132,0.0773,0.448,140.817,28WmNsclKsrVmdv3tDmoYU,414720
0.274,0.726,-11.541,0.0449,0.000212,0.0113,0.0993,0.426,146.449,4vJr55lngvhSM8WIh9CjQc,422933
0.226,0.978,-5.729,0.209,3.6e-06,0.533,0.0436,0.242,102.374,2l0h4aBFLp9HdoaNdCTlbW,266773
0.263,0.97,-4.182,0.163,0.00338,0.000795,0.0922,0.17,151.729,3Ky8IzV8IVSwijtaTWB2SK,397827
0.362,0.961,-5.664,0.0857,0.024,9.35e-06,0.159,0.491,164.019,2RaA6kIcvomt77qlIgGhCT,153840
0.446,0.97,-5.004,0.0508,0.00754,0.000275,0.199,0.595,94.233,2SrVGpjv0mqCR6j9EZPSm2,363587
0.311,0.658,-13.529,0.0406,0.0706,0.104,0.093,0.353,151.813,3ZuVfQriS93y6ofwbIf7lp,314720
0.61,0.891,-5.452,0.0587,0.000805,0.0928,0.0657,0.51,139.903,51TG9W3y9qyO8BY5RXKgnZ,246733
0.3,0.936,-5.399,0.0456,0.0337,0.021,0.158,0.756,133.065,3wFGRek61NIF330UwJCI52,271907
0.314,0.959,-4.657,0.0908,0.0263,0.000148,0.161,0.492,154.221,1HM7Vp84E4SMzdrZONg6bH,309640
0.508,0.912,-8.049,0.0368,7.06e-05,0.403,0.0492,0.682,117.582,5qFxuUIAwJlzO60vqOiL7y,252693
0.361,0.631,-9.215,0.0356,0.404,9.9e-05,0.0685,0.541,137.757,2CzKVfVA9U7OKbIpAVPZOk,347627
0.415,0.908,-9.701,0.0765,0.00437,0.0345,0.082,0.437,114.816,2SgbR6ttzoNlCRGQOKjrop,243533
0.368,0.917,-4.829,0.0772,0.147,0.000121,0.169,0.343,110.455,3vhKrSxe3fRuS5Ogis76VO,230760
0.456,0.865,-4.607,0.0585,0.00609,0.000544,0.237,0.608,140.067,3CspfYGpqAqgbRqUuxmW0r,94571
0.224,0.938,-6.907,0.408,0.00157,0.0765,0.106,0.327,203.79,2YTwVDQOSGclX2N3AKetOP,432547
0.397,0.852,-6.348,0.0344,0.00024,0.000282,0.228,0.506,96.064,4nvYDy427VvA1TcEkdgZII,292720
0.481,0.928,-8.799,0.0672,0.00022,0.558,0.106,0.427,96.699,6UB9mShVLbMm0W4e6vud4C,312360
0.464,0.612,-12.019,0.0591,0.116,0.00559,0.171,0.496,91.499,0W35nxtHtFlseSojmygEsf,474400
0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,2QjOHCTQ1Jl3zawyYOpxh6,240400
0.749,0.491,-9.655,0.0403,0.02,0.00899,0.159,0.536,119.528,3vkQ5DAB1qQMYO4Mr9zJN6,292613
0.647,0.514,-10.05,0.0593,0.0655,0.0,0.398,0.386,79.975,1DIXPcTDzTj8ZMHt3PDt8p,240693
0.384,0.438,-9.149,0.0362,0.753,0.0,0.101,0.287,87.903,5EQzuYfTZt7B2LqlvTF49l,456867
0.645,0.795,-12.095,0.0527,0.347,0.00389,0.104,0.535,112.067,4RvWPyQ5RL0ao9LPZeSouE,251489
0.556,0.864,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,60a0Rd6pjrkxjPbaKzXjfq,216880
0.352,0.911,-5.23,0.0747,0.00121,0.0,0.0995,0.236,148.033,003vvx7Niy0yvhvHt4a68B,222973
0.573,0.902,-7.638,0.054,0.018,0.00125,0.0928,0.876,84.412,2WfaOiMkCvy7F5fcp2zZ8L,225280
0.532,0.887,-3.757,0.0335,0.0778,0.000214,0.294,0.795,122.511,37ZJ0p5Jm13JPevGcx4SkF,249293
0.504,0.904,-6.863,0.179,0.356,0.121,0.14,0.772,176.808,1jDJFeK9x3OZboIAHsY9k2,183440
0.726,0.787,-2.494,0.0737,0.009,0.0,0.0596,0.888,124.99,4cluDES4hQEUhmXj6TXkSo,199987
0.671,0.373,-18.064,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,2374M0fQpWi3dLnB54qaLX,295893
0.543,0.87,-6.514,0.0428,0.358,0.000939,0.792,0.754,100.804,0GjEhVFGZW8afUYGChu3Rr,230400
0.578,0.866,-3.804,0.0619,0.00701,0.0,0.257,0.619,128.038,4kbj5MwxO1bq9wjT5g9HaA,199080
0.758,0.871,-6.408,0.147,0.0062,0.0,0.0663,0.753,126.994,6bNB5gxFX6Q87DbQWb8OWZ,202627
0.673,0.886,-4.44,0.0431,0.185,0.0,0.0826,0.795,97.012,4HlFJV71xXKIGcU3kRyttv,216773
0.774,0.838,-3.914,0.114,0.0249,0.025,0.242,0.924,143.04,6I9VzXrHxO9rA9A5euc8Ak,198800
0.768,0.852,-6.215,0.038,0.214,7.36e-05,0.0723,0.867,128.373,07q0QVgO56EorrSGHC48y3,271240
0.697,0.832,-7.264,0.0298,0.168,0.00131,0.269,0.979,125.926,2grjqo0Frpf2okIBiifQKs,215093
0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,3bidbhpOYeV4knp8AIu8Xn,258343
0.508,0.834,-6.205,0.0386,0.0183,0.0,0.0732,0.774,139.131,0GONea6G2XdnHWjNZd6zt3,216053
0.727,0.974,-2.261,0.0664,0.103,0.000532,0.174,0.965,79.526,2PpruBYCo4H7WOBJ7Q2EwM,235213
0.689,0.694,-5.83,0.027,0.257,0.0,0.148,0.482,99.039,47BBI51FKFwOMlIiX6m8ya,213307
0.472,0.671,-4.649,0.029,0.0129,0.0,0.159,0.0681,82.952,77loZpT5Y5PRP1S451P9Yz,232800
0.581,0.963,-4.087,0.0981,0.0295,0.0,0.139,0.788,129.992,3cHyrEgdyYRjgJKSOiOtcS,204160
0.434,0.897,-4.918,0.0488,0.0103,0.0,0.612,0.684,148.726,2m1hi0nfMR9vdGC8UcrnwU,167067
0.918,0.609,-5.64,0.0791,0.0928,0.0,0.139,0.304,128.008,0CAfXk7DXMnon4gLudAp7J,231400
0.755,0.837,-2.718,0.142,0.0991,0.0,0.289,0.714,120.028,0HPD5WQqrq7wPWR7P7Dw1i,199693
0.728,0.859,-5.237,0.137,0.0401,0.0,0.111,0.535,65.043,6epn3r7S14KUqlReYr77hA,214240
0.773,0.758,-4.993,0.0381,0.0422,0.0,0.305,0.925,144.033,6RtPijgfPKROxEzTHNRiDp,224840
0.858,0.678,-3.87,0.0469,0.0761,0.0,0.0741,0.922,117.009,0laYHRpNTS6i8FXdupHkJ4,188453
0.768,0.864,-6.145,0.0324,0.101,0.0,0.162,0.891,110.008,1Je1IMUlBXcx1Fz0WE7oPT,173027
0.551,0.913,-4.063,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,0v1XpBHnsbkCn7iJ9Ucr1l,224493
0.574,0.628,-8.815,0.036,0.13,0.0,0.271,0.803,153.119,4jDmJ51x1o9NZB5Nxxc7gY,300107
0.446,0.764,-5.042,0.033,0.00135,0.0,0.099,0.543,172.094,0gmbgwZ8iqyMPmXefof8Yf,223840
0.62,0.573,-11.893,0.0423,0.271,0.0,0.0607,0.897,81.548,0ikz6tENMONtK6qGkOrU3c,231333
0.596,0.869,-11.97,0.037,0.0116,0.173,0.0678,0.944,109.902,05wIrZSwuaVWhcv5FfqeH0,238733
0.71,0.799,-4.897,0.0328,0.22,0.000602,0.349,0.725,120.372,4y1LsJpmMti1PfRQV9AWWe,238267
0.585,0.776,-5.898,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,5xEM5hIgJ1jjgcEBfpkt2F,244507
0.721,0.939,-11.823,0.0376,0.115,3.79e-05,0.108,0.914,113.309,4cOdK2wGLETKBW3PvgPWqT,213573
0.656,0.291,-10.572,0.0293,0.872,0.0,0.114,0.298,103.971,4RCWB3V8V0dignt99LZ8vH,232533
0.4,0.915,-4.89,0.28,0.0846,0.0,0.0503,0.878,88.917,2a1o6ZejUi8U3wzzOtCOYw,198773
0.731,0.867,-5.881,0.032,0.0395,0.0,0.0861,0.776,104.019,3cfOd4CMv2snFaKAnMdnvK,200373
0.512,0.662,-6.797,0.0439,0.0275,0.0,0.118,0.472,180.114,3DamFFqW32WihKkTVlwTYQ,228347
0.751,0.834,-5.444,0.0437,0.3,1.77e-05,0.355,0.894,95.053,6naxalmIoLFWR0siv8dnQQ,211160
0.572,0.835,-6.219,0.0317,0.171,0.000377,0.0702,0.795,129.981,7N3PAbqfTjSEU1edb2tY8j,241600
0.603,0.834,-5.766,0.0417,0.0411,0.00609,0.105,0.376,89.957,4bJygwUKrRgq1stlNXcgMg,214440
0.729,0.844,-8.824,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,7HW5WIw7ZgZORCzUxv5gW5,275440
0.481,0.638,-5.862,0.0276,0.153,0.0,0.154,0.497,79.064,2hKdd3qO7cWr2Jo0Bcs0MA,259933
0.526,0.749,-6.964,0.0283,0.023,1.76e-06,0.0692,0.421,99.982,754kgU5rWscRTfvlsuEwFp,208680
0.762,0.661,-6.075,0.0687,0.15,0.0,0.256,0.769,130.009,1hGy2eLcmC8eKx7qr1tOqx,225373
0.578,0.817,-6.542,0.0363,0.183,3.06e-06,0.285,0.726,141.621,5DiXcVovI0FcY2s0icWWUu,272293
0.632,0.856,-3.463,0.0348,0.0624,0.0,0.347,0.867,119.397,3Fzlg5r1IjhLk2qRw667od,232693
0.554,0.783,-5.852,0.0457,0.416,1.54e-06,0.631,0.813,105.39,4w3tQBXhn5345eUXDGBWZG,162467
0.749,0.748,-7.011,0.0323,0.295,0.000443,0.469,0.827,137.547,2TxCwUlqaOH3TIyJqGgR91,213267
0.529,0.843,-6.908,0.0616,0.0628,0.000827,0.0608,0.188,117.662,3MrRksHupTVEQ7YbA0FsZK,310333
0.529,0.127,-16.066,0.0274,0.611,0.000109,0.237,0.578,63.05,62AuGbAkt8Ox2IrFFb8GKV,203573
0.431,0.723,-5.887,0.0568,0.145,0.0,0.374,0.19,130.141,7wuJGgpTNzbUyn26IOY6rj,267360
0.652,0.917,-6.72,0.0548,0.0082,0.0,0.0509,0.459,132.975,2goLsvvODILDzeeiT4dAoR,239027
0.758,0.712,-3.781,0.112,0.0185,0.0,0.0677,0.795,149.998,2q4rjDy9WhaN3o9MvDbO21,193387
0.56,0.825,-3.862,0.0379,0.323,0.0,0.161,0.268,94.931,4w1lzcaoZ1IC2K5TwjalRP,237493
0.652,0.698,-4.667,0.042,0.00112,0.000115,0.0886,0.47,96.021,5Q0Nhxo0l2bP3pNjpGJwV1,202067
0.541,0.401,-10.499,0.0365,0.576,0.0,0.164,0.24,152.943,31er9IGsfFbwqy1pH4aiTP,289160
0.566,0.713,-4.25,0.0418,0.645,0.0,0.114,0.805,169.861,0LQtEJt7x0s6knb6RKdRYc,238147
0.535,0.716,-5.025,0.0431,0.326,0.0,0.659,0.901,94.379,2Cdvbe2G4hZsnhNMKyGrie,175173
0.446,0.239,-13.945,0.0316,0.551,4.1e-06,0.0697,0.298,189.507,18AXbzPzBS8Y3AkgSxzJPb,336453
0.902,0.72,-2.776,0.347,0.26,0.0,0.0749,0.805,90.059,4RY96Asd9IefaL3X4LOLZ8,193467
0.487,0.9,-4.417,0.0482,6.79e-05,0.0,0.358,0.484,149.937,00Mb3DuaIH1kjrwOku9CGU,204000
0.822,0.969,-11.471,0.0582,0.259,0.000153,0.39,0.765,128.007,2yAVzRiEQooPEJ9SYx11L3,283748
0.622,0.807,-6.752,0.408,0.103,0.0,0.306,0.892,174.06,6x4tKaOzfNJpEJHySoiJcs,220293
0.543,0.485,-6.85,0.0305,0.558,0.0,0.12,0.371,136.961,0qcr5FMsEO85NAQjrlDRKo,223840
0.706,0.8,-6.333,0.0399,0.00584,0.0,0.0822,0.629,100.011,3U5JVgI2x4rDyHGObzJfNf,259333
0.956,0.745,-4.753,0.12,0.206,0.0,0.0615,0.912,107.075,04KTF78FFg8sOHC1BADqbY,228240
0.653,0.964,-4.261,0.0582,0.00316,0.00512,0.144,0.87,126.928,5z6xHjCZr7a7AIcy8sPBKy,209267
0.661,0.908,-4.897,0.039,0.052,0.0,0.0708,0.656,144.091,6OnfBiiSc9RGKiBKKtZXgQ,296080
0.675,0.479,-9.87,0.0278,0.633,1.76e-05,0.088,0.454,81.998,0vg4WnUWvze6pBOJDTq99k,209493
0.544,0.897,-6.056,0.0471,0.241,0.0,0.13,0.647,157.17,34x6hEJgGAOQvmlMql5Ige,215133
0.693,0.549,-8.141,0.119,0.0109,0.0,0.0677,0.605,80.028,1tkMs9wDPknQ3ZHcKDw1ES,227960
0.715,0.833,-5.379,0.108,0.00631,0.0,0.164,0.612,95.487,3jDdpx9PMlfMBS5tOBHFm9,213093
0.812,0.879,-10.998,0.0397,0.0167,0.224,0.366,0.962,129.991,5ZrDlcxIDZyjOzHdYW1ydr,197960
0.719,0.922,-6.091,0.0338,0.523,0.000163,0.0867,0.964,133.113,7rWgGyRK7RAqAAXy4bLft9,260893
0.625,0.85,-3.904,0.0495,0.346,0.000233,0.174,0.633,94.661,25FTMokYEbEWHEdss5JLZS,241667
0.736,0.74,-2.18,0.0786,0.515,0.0,0.0468,0.803,140.141,66TRwr5uJwPt15mfFkzhbi,221933
0.758,0.612,-11.403,0.0598,0.281,0.00288,0.0954,0.822,106.945,0B9x2BRHqj3Qer7biM3pU3,169840
0.724,0.498,-13.083,0.0423,0.0405,8.56e-05,0.0761,0.823,88.825,7j74lucZ59vqN67Ipe2ZcY,273173
0.668,0.73,-7.182,0.0366,0.225,0.0,0.188,0.894,92.049,2wSAWEYUHkt92X4SBAPqZE,252773
0.572,0.654,-7.027,0.0344,0.0058,3.21e-06,0.09,0.399,122.491,3cbV252akVZInSvJk7jAYX,237053
0.815,0.438,-14.522,0.0346,0.216,0.000466,0.0787,0.552,108.965,2HHtWyy5CgaQbC7XSoOb0e,243773
0.428,0.276,-11.729,0.0312,0.732,5.33e-06,0.117,0.0382,99.195,33LC84JgLvK2KuW43MfaNq,280000
0.621,0.901,-5.396,0.0302,0.17,0.0,0.0875,0.744,113.967,1Cwsd5xI8CajJz795oy4XF,300773
0.798,0.625,-9.689,0.0548,0.00547,7.98e-05,0.103,0.858,93.764,6kWJvPfC4DgUpRsXKNa9z9,211213
0.807,0.887,-3.726,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,5jE48hhRu8E6zBDPRSkEq7,187920
0.521,0.625,-7.47,0.067,0.0301,0.0,0.121,0.136,101.019,0r2Bul2NuCViraT2zX1l5j,334067
0.383,0.662,-5.162,0.0333,0.165,0.0,0.248,0.138,121.154,225xvV8r1yKMHErSWivnow,298760
0.723,0.895,-3.707,0.102,0.088,0.0,0.0717,0.963,143.373,3SFXsFpeGmBTtQvKiwYMDA,188667
0.602,0.843,-4.831,0.0593,0.000688,5.27e-05,0.0682,0.526,128.003,190jyVPHYjAqEaOGmMzdyk,227987
0.774,0.75,-4.927,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015,27L8sESb3KR79asDUBu8nW,197987
0.425,0.954,-3.756,0.0476,0.00414,0.0,0.0555,0.933,178.043,0Ph6L4l8dYUuXFmb71Ajnd,243160
0.836,0.509,-13.668,0.0548,0.467,4.1e-06,0.0436,0.949,138.714,5IMtdHjJ1OtkxbGe4zfUxQ,276493
0.744,0.766,-6.375,0.0265,0.0873,0.0,0.509,0.61,127.966,2H1047e0oMSj10dgp7p2VG,289133
0.652,0.812,-3.797,0.0409,0.00125,3.01e-05,0.667,0.72,126.023,3avYqdwHKEq8beXbeWCKqJ,230733
0.38,0.43,-12.564,0.0288,0.546,1.71e-05,0.188,0.547,82.204,1QbOvACeYanja5pbnJbAmk,197813
0.801,0.948,-4.623,0.0386,0.0117,0.457,0.025,0.968,138.489,5N6M8yDiMV32T6Rkzh8EbW,202583
0.555,0.698,-8.874,0.0287,0.403,0.0,0.0851,0.816,168.12,013AWvizllIUEC2FOBzOnh,277267
0.839,0.706,-6.104,0.199,0.208,0.0,0.242,0.839,96.673,4hrae8atte6cRlSC9a7VCO,245133
0.835,0.707,-5.074,0.0598,0.0219,2.19e-05,0.108,0.919,93.955,2mKouqwAIdQnMP43zxR89r,267093
0.64,0.864,-6.576,0.0314,0.00832,0.0,0.123,0.701,102.026,42et6fnHCw1HIPSrdPprMl,268360
0.647,0.729,-6.251,0.0236,0.0206,0.0489,0.134,0.687,94.01,7vFv0yFGMJW3qVXbAd9BK9,249627
0.851,0.849,-3.383,0.0828,0.497,2.05e-06,0.116,0.844,120.014,4XHQyvbrBsQaaBUW1VvmsL,298773
0.867,0.517,-13.222,0.0875,0.00456,0.000339,0.0864,0.866,133.148,1B75hgRqe7A4fwee3g3Wmu,257360
0.586,0.7,-9.558,0.0363,0.0589,0.00125,0.0318,0.897,147.245,1HOMkjp0nHMaTnfAkslCQj,295400
0.884,0.765,-3.865,0.0882,0.063,7.04e-06,0.118,0.594,99.987,41Fflg7qHiVOD6dEPvsCzO,224573
0.799,0.687,-5.682,0.0431,0.193,0.000188,0.0307,0.965,108.804,4d6eqRtpDX7tydHJGDZUBQ,215773
0.502,0.924,-6.299,0.0503,0.0127,0.0,0.162,0.922,149.186,1hlveB9M6ijHZRbzZ2teyh,219667
0.811,0.823,-5.921,0.0423,0.0553,4.52e-06,0.158,0.827,106.929,7L93GESzq43UkKUt5FsOCq,218547
0.402,0.914,-5.215,0.142,0.000579,0.0,0.065,0.626,196.505,4KacUpvbA3Mfo05gttTjhN,178267
0.599,0.931,-4.653,0.0735,0.0302,6.69e-05,0.392,0.536,140.123,549Go7a66CX6k523uK9kUv,270427
0.749,0.605,-9.359,0.086,0.00186,0.0381,0.115,0.966,142.024,6mz1fBdKATx6qP4oP1I65G,251733
0.683,0.772,-7.907,0.0311,0.0222,0.0149,0.203,0.737,123.871,2IHaGyfxNoFPLJnaEg4GTs,270373
0.529,0.932,-7.501,0.0488,0.00251,0.00109,0.136,0.571,138.158,71SvEDmsOwIWw1IozsZoMA,201693
0.736,0.811,-4.17,0.081,0.00132,0.000142,0.107,0.609,103.502,4BggEwLhGfrbrl7JBhC8EC,216733
0.706,0.751,-6.323,0.0708,0.173,0.0,0.168,0.195,91.031,5vlEg2fT4cFWAqU5QptIpQ,182307
0.504,0.911,-2.97,0.0738,0.00512,0.0123,0.355,0.671,106.244,70Z9t1qhytWtG4cCmmi7mU,179760
0.633,0.8,-6.945,0.166,0.209,0.000123,0.137,0.913,175.716,11mwFrKvLXCbcVGNxffGyP,217573
0.59,0.868,-5.832,0.048,0.0962,0.000322,0.442,0.798,184.348,1ot6jEe4w4hYnsOPjd3xKQ,230640
0.478,0.854,-5.454,0.0289,0.0204,1.21e-06,0.115,0.274,91.854,1A5V1sxyCLpKJezp75tUXn,274160
0.662,0.741,-5.406,0.0334,0.00165,0.0303,0.114,0.404,131.0,3xrn9i8zhNZsTtcoWgQEAd,188960
0.494,0.946,-2.757,0.0637,0.00129,0.0,0.398,0.741,103.408,33iv3wnGMrrDugd7GBso1z,169027
0.787,0.728,-7.705,0.218,0.0124,0.0,0.157,0.94,173.026,1SssFw74DdHVjRa6ADggdD,227067
0.7,0.864,-3.629,0.0283,0.0212,0.0,0.0956,0.887,102.997,5rX6C5QVvvZB7XckETNych,297587
0.653,0.677,-12.244,0.0396,0.249,0.0,0.403,0.888,114.37,1ynmMEK1fkyiZ6Z6F3ThEt,216533
0.546,0.895,-7.189,0.0579,0.0819,1.42e-05,0.0768,0.494,174.089,6W2VbtvMrDXm5vYeB7amkO,220707
0.722,0.758,-4.477,0.0471,0.0111,0.0,0.308,0.62,128.047,7LcfRTgAVTs5pQGEQgUEzN,201160
0.593,0.642,-7.284,0.0299,0.313,0.000582,0.0804,0.736,76.403,5TAf4lnZCZTLlZHNZMLFLi,239440
0.808,0.786,-6.897,0.0447,0.00928,0.0701,0.0574,0.899,96.987,0hrBpAOgrt8RXigk83LLNE,191240
0.747,0.663,-9.415,0.0545,0.62,5.24e-05,0.0861,0.606,124.336,2AVkArcfALVk2X8sfPRzya,216907
0.686,0.783,-4.977,0.119,0.0764,0.0,0.163,0.814,99.978,2i0AUcEnsDm3dsqLrFWUCq,200467
0.59,0.338,-13.101,0.03,0.292,0.0131,0.121,0.322,110.581,5BUq9bdtsm3LWw5laJeJ4R,185360
0.491,0.802,-7.106,0.0392,0.25,0.0,0.387,0.472,119.25,77NNZQSqzLNqh2A9JhLRkg,248907
0.746,0.79,-4.7,0.0257,0.0485,0.0261,0.0534,0.891,107.231,46RVKt5Edm1zl0rXhPJZxz,220867
0.633,0.976,-5.362,0.0519,0.00281,1.29e-05,0.382,0.493,142.027,5YJtMNWKe55yr49cyJgxva,197124
0.979,0.792,-2.784,0.0388,0.0025,7.71e-06,0.102,0.583,116.012,3XVozq1aeqsJwpXrEZrDJ9,254467
0.831,0.735,-6.254,0.0384,0.00397,0.0205,0.123,0.97,122.979,5EYdTPdJD74r9EVZBztqGG,260507
0.622,0.829,-5.548,0.029,0.11,0.0,0.0954,0.539,110.367,1uzWOoJdADfstQuFtQFTUn,257373
0.851,0.551,-5.177,0.0396,0.151,0.0,0.0827,0.807,131.922,66S14BkJDxgkYxLl5DCqOz,219467
0.699,0.76,-3.173,0.0677,0.00223,0.0,0.132,0.696,129.996,005lwxGU1tms6HGELIcUv9,179640
0.537,0.84,-4.626,0.0363,0.2,2.15e-06,0.0998,0.211,124.269,7mnGQesk1TzQLzQ9bYWZPR,224693
0.757,0.757,-7.598,0.0389,0.235,0.0,0.0474,0.967,124.956,4FUfoWMypAyWbOavmYyeNu,218867
0.718,0.691,-6.44,0.0387,0.0159,0.0,0.0627,0.552,100.008,6ihL9TjfRjadfEePzXXyVF,213107
0.881,0.874,-4.505,0.139,0.0175,1.14e-06,0.154,0.858,107.891,0weAUscowxeqDtpCgtbpgp,227933
0.271,0.165,-20.652,0.0351,0.729,1.6e-06,0.118,0.203,77.082,29U7stRjqHU6rMiS8BfaI9,139227
0.746,0.243,-15.134,0.123,0.829,1.02e-06,0.0905,0.425,118.578,6VTbbVjKOC2qWagIDbkJrC,215747
0.664,0.194,-15.487,0.0357,0.909,3.85e-05,0.0829,0.443,129.863,3898C4AbdbptwYet6547e5,321827
